common_id	label	type	code0	code1	code2	code3	name0	name1	name2	name3	type_label
1494	溶連菌抽出物	drug	4	42	429	4299	組織細胞機能用医薬品	腫瘍用薬	その他の腫瘍用薬	他に分類されない腫瘍用薬	【drug】 溶連菌抽出物
1495	乳糖水和物	drug	7	71	711	7111	治療を主目的としない医薬品	調剤用薬	賦形剤	乳糖類	【drug】 乳糖水和物
1496	プロクロルペラジンメシル酸塩	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 プロクロルペラジンメシル酸塩
1497	高脂血症用剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 高脂血症用剤
1498	2491A01	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 2491A01
1499	総合代謝性製剤（一般薬）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 総合代謝性製剤（一般薬）
1500	ピロヘプチン塩酸塩	drug	1	11	116	1169	神経系及び感覚器官用医薬品	中枢神経系用薬	抗パーキンソン剤	その他の抗パーキンソン剤	【drug】 ピロヘプチン塩酸塩
1501	イオキシラン	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 イオキシラン
1502	防已黄耆湯	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 防已黄耆湯
1503	レボカルニチン塩化物	drug	3	39	399	3999	代謝性医薬品	その他の代謝性医薬品	他に分類されない代謝性医薬品	他に分類されないその他の代謝性医薬品	【drug】 レボカルニチン塩化物
1504	ポリスチレンスルホン酸ナトリウム	drug	2	21	219	2190	個々の器官系用医薬品	循環器官用薬	その他の循環器官用薬	nan	【drug】 ポリスチレンスルホン酸ナトリウム
1505	その他のアレルギー用薬（一般薬）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 その他のアレルギー用薬（一般薬）
1506	ニコチン酸１－（４－メチルフェニル）エチル・１－ナフチル酢酸	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ニコチン酸１－（４－メチルフェニル）エチル・１－ナフチル酢酸
1507	オキシペルチン	drug	1	11	117	1179	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	その他の精神神経用剤	【drug】 オキシペルチン
1508	グルコン酸カリウム	drug	3	32	322	3229	代謝性医薬品	滋養強壮薬	無機質製剤	その他の無機質製剤	【drug】 グルコン酸カリウム
1509	ジヒドロエルゴトキシンメシル酸塩	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ジヒドロエルゴトキシンメシル酸塩
1510	ジオクチルソジウムスルホサクシネート・カサンスラノール	drug	2	23	235	2359	個々の器官系用医薬品	消化器官用薬	下剤，浣腸剤	その他の下剤，浣腸剤	【drug】 ジオクチルソジウムスルホサクシネート・カサンスラノール
1511	トリアムシノロン	drug	2	24	245	2454	個々の器官系用医薬品	ホルモン剤（抗ホルモン剤を含む。）	副腎ホルモン剤	フッ素付加副腎皮質ホルモン製剤	【drug】 トリアムシノロン
1512	ラロキシフェン塩酸塩	drug	3	39	399	3999	代謝性医薬品	その他の代謝性医薬品	他に分類されない代謝性医薬品	他に分類されないその他の代謝性医薬品	【drug】 ラロキシフェン塩酸塩
1513	その他の循環器官用薬（一般薬）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 その他の循環器官用薬（一般薬）
1514	フルドロキシコルチド	drug	2	26	264	2646	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	副腎皮質ホルモン製剤	【drug】 フルドロキシコルチド
1515	ピラセタム	drug	1	11	119	1190	神経系及び感覚器官用医薬品	中枢神経系用薬	その他の中枢神経系用薬	nan	【drug】 ピラセタム
1516	プリミドン	drug	1	11	113	1135	神経系及び感覚器官用医薬品	中枢神経系用薬	抗てんかん剤	プリミドン系製剤	【drug】 プリミドン
1517	配合製剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 配合製剤
1518	麻杏甘石湯	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 麻杏甘石湯
1519	ブロムフェナクナトリウム水和物	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 ブロムフェナクナトリウム水和物
1520	ナトリウム・カリウム・マグネシウム配合剤（１）	drug	3	32	322	3229	代謝性医薬品	滋養強壮薬	無機質製剤	その他の無機質製剤	【drug】 ナトリウム・カリウム・マグネシウム配合剤（１）
1521	フルフェナジンマレイン酸塩	drug	1	11	117	1172	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	フェノチアジン系製剤	【drug】 フルフェナジンマレイン酸塩
1522	モルヒネ系製剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 モルヒネ系製剤
1523	アトロピン系製剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 アトロピン系製剤
1524	カルシウム剤（一般薬）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 カルシウム剤（一般薬）
1525	ハルシノニド	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ハルシノニド
1526	ランジオロール塩酸塩	drug	2	21	212	2123	個々の器官系用医薬品	循環器官用薬	不整脈用剤	β－遮断剤	【drug】 ランジオロール塩酸塩
1527	ジプロフィリン・メトキシフェナミン配合剤	drug	2	22	222	2229	個々の器官系用医薬品	呼吸器官用薬	鎮咳剤	その他の鎮咳剤	【drug】 ジプロフィリン・メトキシフェナミン配合剤
1528	ナリジクス酸	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ナリジクス酸
1529	2種類の薬剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 2種類の薬剤
1530	solifenacin	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 solifenacin
1531	サリチル酸	drug	2	26	265	2652	個々の器官系用医薬品	外皮用薬	寄生性皮ふ疾患用剤	外用サリチル酸系製剤	【drug】 サリチル酸
1532	フルオシノロンアセトニド	drug	2	26	264	2646	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	副腎皮質ホルモン製剤	【drug】 フルオシノロンアセトニド
1533	混合死菌・ヒドロコルチゾン	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 混合死菌・ヒドロコルチゾン
1534	止しゃ剤，整腸剤（一般薬）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 止しゃ剤，整腸剤（一般薬）
1535	カルメロースナトリウム	drug	2	23	235	2359	個々の器官系用医薬品	消化器官用薬	下剤，浣腸剤	その他の下剤，浣腸剤	【drug】 カルメロースナトリウム
1536	アルクロメタゾンプロピオン酸エステル	drug	2	26	264	2646	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	副腎皮質ホルモン製剤	【drug】 アルクロメタゾンプロピオン酸エステル
1537	酪酸プロピオン酸ヒドロコルチゾン	drug	2	26	264	2646	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	副腎皮質ホルモン製剤	【drug】 酪酸プロピオン酸ヒドロコルチゾン
1538	ベタメタゾンジプロピオン酸エステル	drug	2	26	264	2646	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	副腎皮質ホルモン製剤	【drug】 ベタメタゾンジプロピオン酸エステル
1539	アシタザノラスト水和物	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 アシタザノラスト水和物
1540	ジフェンヒドラミン塩酸塩・臭化カルシウム	drug	4	44	441	4419	組織細胞機能用医薬品	アレルギー用薬	抗ヒスタミン剤	その他の抗ヒスタミン剤	【drug】 ジフェンヒドラミン塩酸塩・臭化カルシウム
1541	アプラクロニジン塩酸塩	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 アプラクロニジン塩酸塩
1542	６－メルカプトプリンリボシド	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ６－メルカプトプリンリボシド
1543	七物降下湯	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 七物降下湯
1544	サナクターゼＬ	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 サナクターゼＬ
1545	臭化カリウム	drug	1	11	112	1126	神経系及び感覚器官用医薬品	中枢神経系用薬	催眠鎮静剤，抗不安剤	ブロム塩製剤；臭化カリウム等	【drug】 臭化カリウム
1546	その他の主としてグラム陽性・陰性菌に作用するもの	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 その他の主としてグラム陽性・陰性菌に作用するもの
1547	その他のビタミン剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 その他のビタミン剤
1548	プラリドキシムヨウ化物	drug	3	39	392	3929	代謝性医薬品	その他の代謝性医薬品	解毒剤	その他の解毒剤	【drug】 プラリドキシムヨウ化物
1549	薬用炭	drug	2	23	231	2319	個々の器官系用医薬品	消化器官用薬	止しゃ剤，整腸剤	その他の止しゃ剤，整腸剤	【drug】 薬用炭
1550	ドスレピン塩酸塩	drug	1	11	117	1179	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	その他の精神神経用剤	【drug】 ドスレピン塩酸塩
1551	トロピカミド	drug	1	13	131	1311	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	散瞳剤；ホマトロピン等	【drug】 トロピカミド
1552	フェニレフリン塩酸塩	drug	2	21	216	2160	個々の器官系用医薬品	循環器官用薬	血管収縮剤	nan	【drug】 フェニレフリン塩酸塩
1552	フェニレフリン塩酸塩	drug	1	13	131	1311	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	散瞳剤；ホマトロピン等	【drug】 フェニレフリン塩酸塩
1553	その他の泌尿生殖器官及び肛門用薬（一般薬）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 その他の泌尿生殖器官及び肛門用薬（一般薬）
1554	セコバルビタールナトリウム	drug	1	11	112	1125	神経系及び感覚器官用医薬品	中枢神経系用薬	催眠鎮静剤，抗不安剤	バルビツール酸系及びチオバルビツール酸系製剤	【drug】 セコバルビタールナトリウム
1555	ファスジル塩酸塩水和物	drug	2	21	219	2190	個々の器官系用医薬品	循環器官用薬	その他の循環器官用薬	nan	【drug】 ファスジル塩酸塩水和物
1556	下剤，浣腸剤（一般薬）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 下剤，浣腸剤（一般薬）
1557	クロベタゾン酪酸エステル	drug	2	26	264	2646	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	副腎皮質ホルモン製剤	【drug】 クロベタゾン酪酸エステル
1558	デキサメタゾン・脱脂大豆乾留タール	drug	2	26	264	2649	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	その他の鎮痛，鎮痒，収斂，消炎剤	【drug】 デキサメタゾン・脱脂大豆乾留タール
1559	エチレンビスシステインジエチルエステル二塩酸塩	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 エチレンビスシステインジエチルエステル二塩酸塩
1560	クロペラスチン塩酸塩	drug	2	22	222	2229	個々の器官系用医薬品	呼吸器官用薬	鎮咳剤	その他の鎮咳剤	【drug】 クロペラスチン塩酸塩
1561	クロルプロマジンフェノールフタリン酸塩	drug	1	11	117	1171	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	クロルプロマジン製剤	【drug】 クロルプロマジンフェノールフタリン酸塩
1562	ブロメライン	drug	3	39	395	3959	代謝性医薬品	その他の代謝性医薬品	酵素製剤	その他の酵素製剤	【drug】 ブロメライン
1563	乾燥ｐＨ４処理人免疫グロブリン	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 乾燥ｐＨ４処理人免疫グロブリン
1564	アセグラトン	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 アセグラトン
1565	レボブノロール塩酸塩	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 レボブノロール塩酸塩
1566	三黄瀉心湯	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 三黄瀉心湯
1567	アスピリン／ダイアルミネート	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 アスピリン／ダイアルミネート
1568	マオウエキス配合剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 マオウエキス配合剤
1569	イソコナゾール硝酸塩	drug	2	25	252	2529	個々の器官系用医薬品	泌尿生殖器官及び肛門用薬	生殖器官用剤（性病予防剤を含む。）	その他の生殖器官用剤（性病予防剤を含む。）	【drug】 イソコナゾール硝酸塩
1569	イソコナゾール硝酸塩	drug	2	26	265	2655	個々の器官系用医薬品	外皮用薬	寄生性皮ふ疾患用剤	イミダゾール系製剤	【drug】 イソコナゾール硝酸塩
1570	その他の生物学的製剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 その他の生物学的製剤
1571	hydroxyurea	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 hydroxyurea
1572	荊芥連翹湯	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 荊芥連翹湯
1573	フルオロウラシル系製剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 フルオロウラシル系製剤
1574	DOXORUBICIN LIPOSOMAL	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 DOXORUBICIN LIPOSOMAL
1575	レセルピン	drug	2	21	214	2143	個々の器官系用医薬品	循環器官用薬	血圧降下剤	ラウオルフィア製剤	【drug】 レセルピン
1576	トコフェロール・ビタミンＡ油	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 トコフェロール・ビタミンＡ油
1577	キニジン硫酸塩水和物	drug	2	21	212	2122	個々の器官系用医薬品	循環器官用薬	不整脈用剤	キニジン製剤	【drug】 キニジン硫酸塩水和物
1578	ムピロシンカルシウム水和物	drug	6	61	611	6119	病原生物に対する医薬品	抗生物質製剤	主としてグラム陽性菌に作用するもの	その他の主としてグラム陽性菌に作用するもの	【drug】 ムピロシンカルシウム水和物
1579	複方ヨード・グリセリン	drug	2	23	239	2399	個々の器官系用医薬品	消化器官用薬	その他の消化器官用薬	他に分類されない消化器官用薬	【drug】 複方ヨード・グリセリン
1580	ベンジルペニシリンベンザチン水和物	drug	6	61	611	6111	病原生物に対する医薬品	抗生物質製剤	主としてグラム陽性菌に作用するもの	ペニシリン系抗生物質製剤；天然ペニシリン・合成ペニシリン	【drug】 ベンジルペニシリンベンザチン水和物
1581	抑肝散加陳皮半夏	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 抑肝散加陳皮半夏
1582	ブクラデシンナトリウム	drug	2	21	211	2119	個々の器官系用医薬品	循環器官用薬	強心剤	その他の強心剤	【drug】 ブクラデシンナトリウム
1582	ブクラデシンナトリウム	drug	2	26	269	2699	個々の器官系用医薬品	外皮用薬	その他の外皮用薬	他に分類されない外皮用薬	【drug】 ブクラデシンナトリウム
1583	モペロン塩酸塩	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 モペロン塩酸塩
1584	POLAPREZINC	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 POLAPREZINC
1585	ジプロフィリン・ジヒドロコデイン配合剤	drug	2	22	222	2229	個々の器官系用医薬品	呼吸器官用薬	鎮咳剤	その他の鎮咳剤	【drug】 ジプロフィリン・ジヒドロコデイン配合剤
1586	レセルピン・ヒドララジン塩酸塩配合剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 レセルピン・ヒドララジン塩酸塩配合剤
1587	バルニジピン塩酸塩	drug	2	21	214	2149	個々の器官系用医薬品	循環器官用薬	血圧降下剤	その他の血圧降下剤	【drug】 バルニジピン塩酸塩
1588	アリメマジン酒石酸塩	drug	4	44	441	4413	組織細胞機能用医薬品	アレルギー用薬	抗ヒスタミン剤	フェノチアジン系製剤	【drug】 アリメマジン酒石酸塩
1589	セチルピリジニウム塩化物水和物	drug	2	23	239	2399	個々の器官系用医薬品	消化器官用薬	その他の消化器官用薬	他に分類されない消化器官用薬	【drug】 セチルピリジニウム塩化物水和物
1590	半合成ヒトインスリン	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 半合成ヒトインスリン
1591	トロスピウム塩化物	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 トロスピウム塩化物
1592	アンピシリン水和物	drug	6	61	613	6131	病原生物に対する医薬品	抗生物質製剤	主としてグラム陽性・陰性菌に作用するもの	ペニシリン系抗生物質製剤；合成ペニシリン	【drug】 アンピシリン水和物
1593	アガルシダーゼ　ベータ（遺伝子組換え）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 アガルシダーゼ　ベータ（遺伝子組換え）
1594	硫酸モルヒネ	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 硫酸モルヒネ
1595	塩酸Ｎ－イソプロピル－４－ヨードアンフェタミン（１２３Ｉ）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 塩酸Ｎ－イソプロピル－４－ヨードアンフェタミン（１２３Ｉ）
1596	大柴胡湯	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 大柴胡湯
1597	イソクスプリン塩酸塩	drug	2	21	217	2172	個々の器官系用医薬品	循環器官用薬	血管拡張剤	末梢血管拡張剤	【drug】 イソクスプリン塩酸塩
1598	オウヒ	drug	5	51	510	5100	生薬及び漢方処方に基づく医薬品	生薬	nan	nan	【drug】 オウヒ
1599	ハンゲ	drug	5	51	510	5100	生薬及び漢方処方に基づく医薬品	生薬	nan	nan	【drug】 ハンゲ
1600	PAROXETINE HYDROCHLORIDE	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 PAROXETINE HYDROCHLORIDE
1601	OMEPRAZOLE	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 OMEPRAZOLE
1602	OXCARBAZEPINE	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 OXCARBAZEPINE
1603	Ａ型ボツリヌス毒素	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 Ａ型ボツリヌス毒素
1604	ビオヂアスターゼ２０００配合剤（３）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ビオヂアスターゼ２０００配合剤（３）
1605	トリメタジジン塩酸塩	drug	2	21	217	2171	個々の器官系用医薬品	循環器官用薬	血管拡張剤	冠血管拡張剤	【drug】 トリメタジジン塩酸塩
1606	トラマゾリン塩酸塩	drug	1	13	132	1324	神経系及び感覚器官用医薬品	感覚器官用薬	耳鼻科用剤	耳鼻科用血管収縮剤	【drug】 トラマゾリン塩酸塩
1607	ドカルパミン	drug	2	21	211	2119	個々の器官系用医薬品	循環器官用薬	強心剤	その他の強心剤	【drug】 ドカルパミン
1608	スコポラミン臭化水素酸塩水和物	drug	1	12	124	1242	神経系及び感覚器官用医薬品	末梢神経系用薬	鎮けい剤	アトロピン系製剤	【drug】 スコポラミン臭化水素酸塩水和物
1609	ジブカイン塩酸塩・パラブチルアミノ安息香酸ジエチルアミノエチル塩酸塩	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ジブカイン塩酸塩・パラブチルアミノ安息香酸ジエチルアミノエチル塩酸塩
1610	歯科用鎮痛鎮静剤（根管及び齲窩消毒剤を含む。）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 歯科用鎮痛鎮静剤（根管及び齲窩消毒剤を含む。）
1611	メチルメチオニンスルホニウムクロリド	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 メチルメチオニンスルホニウムクロリド
1612	小建中湯	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 小建中湯
1613	ヒト成長ホルモン	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ヒト成長ホルモン
1614	21290006	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 21290006
1615	TSR	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 TSR
1616	アクラルビシン塩酸塩	drug	4	42	423	4235	組織細胞機能用医薬品	腫瘍用薬	抗腫瘍性抗生物質製剤	アントラサイクリン系抗生物質製剤	【drug】 アクラルビシン塩酸塩
1617	オクスプレノロール塩酸塩	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 オクスプレノロール塩酸塩
1618	ベルテポルフィン	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 ベルテポルフィン
1619	ピロミド酸	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ピロミド酸
1620	ヒドロキシエチルデンプン	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ヒドロキシエチルデンプン
1621	ジスルフィラム	drug	3	39	393	3939	代謝性医薬品	その他の代謝性医薬品	習慣性中毒用剤	その他の習慣性中毒用剤	【drug】 ジスルフィラム
1622	人血小板濃厚液ＨＬＡ（放射線照射）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 人血小板濃厚液ＨＬＡ（放射線照射）
1623	ニゾフェノンフマル酸塩	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ニゾフェノンフマル酸塩
1624	アミノ酸・糖・電解質（１）	drug	3	32	325	3259	代謝性医薬品	滋養強壮薬	たん白アミノ酸製剤	その他のたん白アミノ酸製剤	【drug】 アミノ酸・糖・電解質（１）
1625	活性生菌製剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 活性生菌製剤
1626	ヒト絨毛性性腺刺激ホルモン	drug	2	24	241	2413	個々の器官系用医薬品	ホルモン剤（抗ホルモン剤を含む。）	脳下垂体ホルモン剤	性腺刺激ホルモン製剤	【drug】 ヒト絨毛性性腺刺激ホルモン
1627	ヒドロキシプロゲステロンカプロン酸エステル	drug	2	24	247	2477	個々の器官系用医薬品	ホルモン剤（抗ホルモン剤を含む。）	卵胞ホルモン及び黄体ホルモン剤	プロゲステロン製剤	【drug】 ヒドロキシプロゲステロンカプロン酸エステル
1628	イオジキサノール	drug	7	72	721	7219	治療を主目的としない医薬品	診断用薬（体外診断用医薬品を除く。）	Ｘ線造影剤	その他のＸ線造影剤	【drug】 イオジキサノール
1629	グルクロン酸アミド	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 グルクロン酸アミド
1630	シクロペントラート塩酸塩	drug	1	13	131	1311	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	散瞳剤；ホマトロピン等	【drug】 シクロペントラート塩酸塩
1631	Ｌ－アスパラギン酸カリウム・マグネシウム	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 Ｌ－アスパラギン酸カリウム・マグネシウム
1632	フルオシノニド	drug	2	26	264	2646	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	副腎皮質ホルモン製剤	【drug】 フルオシノニド
1633	アセチルシステイン	drug	3	39	392	3929	代謝性医薬品	その他の代謝性医薬品	解毒剤	その他の解毒剤	【drug】 アセチルシステイン
1633	アセチルシステイン	drug	2	22	223	2233	個々の器官系用医薬品	呼吸器官用薬	去たん剤	システイン系製剤	【drug】 アセチルシステイン
1634	生薬（一般薬）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 生薬（一般薬）
1635	クエン酸タモキシフェン	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 クエン酸タモキシフェン
1636	毛髪用剤（発毛剤，脱毛剤，染毛剤，養毛剤）（一般薬）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 毛髪用剤（発毛剤，脱毛剤，染毛剤，養毛剤）（一般薬）
1637	ビオヂアスターゼ１０００配合剤（９）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ビオヂアスターゼ１０００配合剤（９）
1638	葛根湯加川きゅう辛夷	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 葛根湯加川きゅう辛夷
1639	ボピンドロールマロン酸塩	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ボピンドロールマロン酸塩
1640	高脂血症用剤（一般薬）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 高脂血症用剤（一般薬）
1641	シクロピロクス　オラミン	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 シクロピロクス　オラミン
1642	パップ剤（１－４）	drug	2	26	264	2649	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	その他の鎮痛，鎮痒，収斂，消炎剤	【drug】 パップ剤（１－４）
1643	消化酵素製剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 消化酵素製剤
1644	フィブリノリジン・デオキシリボヌクレアーゼ配合剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 フィブリノリジン・デオキシリボヌクレアーゼ配合剤
1645	トルペリゾン塩酸塩	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 トルペリゾン塩酸塩
1646	眼科用剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 眼科用剤
1647	セミアルカリプロティナーゼ	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 セミアルカリプロティナーゼ
1648	コデインリン酸塩水和物（１０％）	drug	2	22	224	2242	個々の器官系用医薬品	呼吸器官用薬	鎮咳去たん剤	コデイン系製剤（家庭麻薬）	【drug】 コデインリン酸塩水和物（１０％）
1648	コデインリン酸塩水和物（１０％）	drug	8	81	811	8115	麻薬	アルカロイド系麻薬（天然麻薬）	あへんアルカロイド系麻薬	コデイン系製剤	【drug】 コデインリン酸塩水和物（１０％）
1649	プロキシフィリン・エフェドリン塩酸塩・フェノバルビタール配合剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 プロキシフィリン・エフェドリン塩酸塩・フェノバルビタール配合剤
1650	ヨードホルム	drug	2	26	261	2612	個々の器官系用医薬品	外皮用薬	外皮用殺菌消毒剤	ヨウ素化合物；ヨードチンキ等	【drug】 ヨードホルム
1651	女神散	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 女神散
1652	ナロキソン塩酸塩	drug	2	22	221	2219	個々の器官系用医薬品	呼吸器官用薬	呼吸促進剤	その他の呼吸促進剤	【drug】 ナロキソン塩酸塩
1653	ルリオクトコグアルファ（遺伝子組換え）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ルリオクトコグアルファ（遺伝子組換え）
1654	リン酸ピリドキサールカルシウム	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 リン酸ピリドキサールカルシウム
1655	その他の解熱鎮痛消炎剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 その他の解熱鎮痛消炎剤
1656	肺サーファクタント	drug	2	22	221	2219	個々の器官系用医薬品	呼吸器官用薬	呼吸促進剤	その他の呼吸促進剤	【drug】 肺サーファクタント
1657	トラゾリン塩酸塩	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 トラゾリン塩酸塩
1658	新鮮洗滌赤血球	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 新鮮洗滌赤血球
1659	ジプロフィリン	drug	2	21	211	2115	個々の器官系用医薬品	循環器官用薬	強心剤	カフェイン系製剤	【drug】 ジプロフィリン
1660	サリチル酸ナトリウム	drug	1	11	114	1143	神経系及び感覚器官用医薬品	中枢神経系用薬	解熱鎮痛消炎剤	サリチル酸系製剤；アスピリン等	【drug】 サリチル酸ナトリウム
1661	アミノ酸製剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 アミノ酸製剤
1662	アセトヘキサミド	drug	3	39	396	3961	代謝性医薬品	その他の代謝性医薬品	糖尿病用剤	スルフォニル尿素系製剤	【drug】 アセトヘキサミド
1663	エノキサシン水和物	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 エノキサシン水和物
1664	ジフェンヒドラミンサリチル酸塩	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ジフェンヒドラミンサリチル酸塩
